Eg,FWHM_rel_norm,Eff_tot,FE,SE,DE,c511
50.0,10.290107871781307,0.7086054734867455,258618.0,0.0,0.0,0.0
100.0,8.523215290535743,1.0215993442567484,337842.0,0.0,0.0,0.0
200.0,5.8153,1.0767262081201132,333122.0,0.0,0.0,0.0
400.0,2.939,1.0757384733491233,275641.0,0.0,0.0,0.0
600.0,1.9935999999999998,1.0632379966750378,236172.0,0.0,0.0,0.0
800.0,1.5305,1.0446378245730843,210884.0,0.0,0.0,0.0
1000.0,1.2598,1.0303784868594288,195195.0,0.0,0.0,0.0
1200.0,1.0848,1.010352489290361,181978.0,196.5,8.25,131.0
1400.0,0.96405,0.994784836222149,170708.0,1128.5,187.25,365.5
1600.0,0.8768199999999999,0.9824462744036146,161159.99999999997,2733.5,429.0,874.0
1800.0,0.81161,0.9725932951502362,152139.0,4548.75,758.0,1526.25
2000.0,0.76155,0.9676210469774129,145090.0,6699.0,1111.25,2302.75
2200.0,0.72228,0.9593671799930769,138951.0,8997.0,1485.75,3140.0
2400.0,0.69092,0.9536324698917701,132695.0,11518.0,1869.25,3993.4999999999995
2600.0,0.6654900000000001,0.9499551073463541,127604.0,13939.8,2235.75,4788.25
2800.0,0.64461,0.946436627137456,121517.0,16335.2,2378.0,5634.75
3000.0,0.62725,0.945306688884634,117264.0,18370.8,2789.75,6341.0
3200.0,0.61267,0.9467108535015073,113335.0,20467.8,3074.0,7474.25
3400.0,0.60033,0.9452795045175814,109170.0,22435.5,3411.5000000000005,8244.25
3600.0,0.5897799999999999,0.9424912115703077,105123.0,24030.000000000004,3674.7499999999995,8965.25
3800.0,0.58071,0.9445154180253298,102320.0,25510.0,3923.25,9550.5
4000.0,0.57285,0.9479655582517176,99138.0,27629.8,4167.25,10205.2
4200.0,0.5660000000000001,0.9480147283817647,95912.0,28984.5,4187.25,10888.5
4400.0,0.5599900000000001,0.9481532495190559,93025.0,30539.2,4375.5,11672.500000000002
4600.0,0.5547000000000001,0.9531082773159377,90864.5,31601.0,4603.75,12240.0
4800.0,0.55001,0.9559068591670759,88727.19999999998,32573.8,4645.25,12577.0
5000.0,0.54584,0.9572491820565112,86275.2,33657.0,4711.75,13380.0
5200.0,0.54211,0.9621354366538778,84103.8,33946.2,4943.75,13994.0
5400.0,0.53877,0.9623904931654657,81999.49999999999,34701.0,4872.0,14421.8
5600.0,0.53577,0.9673067480404158,79474.2,35461.2,5080.75,14764.000000000002
5800.0,0.53305,0.9720392106010712,78274.0,36444.2,5044.75,15285.2
6000.0,0.53059,0.9745564180075789,76378.0,36809.8,5102.25,15770.5
6200.0,0.52836,0.977291100350506,74508.8,36998.0,5064.750000000001,15999.8
6400.0,0.5263200000000001,0.9834480887272613,72797.5,37545.5,5104.000000000001,16277.5
6600.0,0.52445,0.9839517034953646,70832.5,37224.5,5203.5,16964.5
6800.0,0.52275,0.9899316144213998,68881.2,38101.5,5204.5,17151.5
7000.0,0.52118,0.993434282209622,68300.0,37756.5,5114.749999999999,17535.0
7200.0,0.5197400000000001,0.9958813084613485,66673.2,37919.0,5090.75,17715.0
7400.0,0.51841,1.001621542079467,65150.0,37872.0,5202.0,18111.8
7600.0,0.51718,1.0045229046649988,63530.0,37584.2,5175.25,18314.2
7800.0,0.5160399999999999,1.008926772127498,62261.8,37221.5,5062.25,18563.0
8000.0,0.5149800000000001,1.011792827527137,61070.2,37727.5,5059.0,18855.8
8200.0,0.5140000000000001,1.0159912418251003,59578.2,37220.0,5033.75,18809.0
8400.0,0.51308,1.0213063812572387,58843.19999999999,37054.8,4814.75,19566.800000000003
8600.0,0.51223,1.0281534843226727,57539.8,37016.0,4935.0,19505.2
8800.0,0.51143,1.0275924683014306,56541.5,36363.8,5039.5,19857.200000000004
9000.0,0.51069,1.0333043262057329,54867.0,36240.5,4799.25,20011.2
9200.0,0.50999,1.0373728837065015,53678.8,36347.5,4857.75,20137.5
9400.0,0.50933,1.0380118787886112,52988.5,35626.8,4765.75,20082.5
9600.0,0.50872,1.0435596557523381,51596.0,34625.0,4666.25,20254.8
9800.0,0.50814,1.047539728679872,50821.0,34682.2,4639.5,20291.0
10000.0,0.5076000000000002,1.050953586982106,49379.5,34323.0,4467.25,20698.8
